"","Sample","Av_Total_Int","Av_Blue_Int_Percent","Av_Green_Int_Percent","Av_Yellow_Int_Percent","Av_Red_Int_Percent","Av-LM","AV_MS","Av_Chroma","Av_Hue_radians","Av_Hue_degrees","Av_Adjust_Hue_degrees","Av_Adjust_Radians","Adjust_Hue_degrees_2SE","Total_Int_2SE","Chroma_2SE","Reverse_Chroma","Color_Class","Geography","Population","Intensity_Class"
"./2020_07_15_36_Intensity_Chroma_Hue.txt","./2020_07_15_36_Intensity_Chroma_Hue.txt",10512.4506747426,0.204037877063263,0.110819296710466,0.119715395101516,0.565427431124755,0.454608134414289,-0.0843224819617465,0.462423586796344,6.09895895260914,349.444607408033,79.4446074080327,1.38712806585454,0.555712893701816,242.004558827627,0.0152793854530643,0.537576413203656,"DB","North ","7","D"
"./2020_07_18_20_Intensity_Chroma_Hue.txt","./2020_07_18_20_Intensity_Chroma_Hue.txt",11967.0529495437,0.188809111671151,0.0925149664166364,0.188647138132703,0.53002878377951,0.437513817362873,-0.000161973538447725,0.437532162349708,2.61739319203943,149.965583230134,89.9655832301338,1.57082764370075,0.312846687885375,235.070418961876,0.0107787920397678,0.562467837650292,"LR","North ","7","L"
"./2020_08_01_30_Intensity_Chroma_Hue.txt","./2020_08_01_30_Intensity_Chroma_Hue.txt",8294.51838032784,0.0754820978443345,0.0298889723587295,0.150611944687927,0.744016985109009,0.714128012750279,0.0751298468435928,0.718071172348805,0.104858105160376,6.00792687342851,96.0079268734285,1.67632888191701,0.0840719445770696,306.209287902668,0.0236215499728189,0.281928827651195,"DR","North ","8","D"
"./2020_08_03_03_Intensity_Chroma_Hue.txt","./2020_08_03_03_Intensity_Chroma_Hue.txt",7638.79052169427,0.0659328606970271,0.0222784149202684,0.13316069380183,0.778628030580874,0.756349615660606,0.067227833104803,0.759343700590512,0.0886017836878947,5.07650826264743,95.0765082626474,1.66006601728432,0.16802142158998,152.723842436519,0.0127150192348218,0.240656299409488,"DR","North ","8","D"
"./2020_08_04_20_Intensity_Chroma_Hue.txt","./2020_08_04_20_Intensity_Chroma_Hue.txt",8460.22508325556,0.0865320167739887,0.0333479213262833,0.147775263653579,0.732344798246149,0.698996876919866,0.0612432468795899,0.701689068969645,0.0873424665341437,5.00435470466907,95.0043547046691,1.65880619325613,0.219172627909173,188.203111612472,0.0156954337615017,0.298310931030355,"DR","North ","8","D"
"./2020_08_10_01_Intensity_Chroma_Hue.txt","./2020_08_10_01_Intensity_Chroma_Hue.txt",9487.01676290788,0.108161558364213,0.0310068805847525,0.15431105106924,0.706520509981794,0.675513629397042,0.0461494927050268,0.677096302322636,0.0682222439444465,3.90884664692872,93.9088466469287,1.63967827478764,0.143839821829774,241.646222720895,0.00999292912615575,0.322903697677364,"DR","North ","8","D"
"./2020_08_11_40_Intensity_Chroma_Hue.txt","./2020_08_11_40_Intensity_Chroma_Hue.txt",8575.59701660444,0.0737820854314616,0.0317807080883964,0.156552683962648,0.737884522517494,0.706103814429098,0.0827705985311863,0.710940658012562,0.116708670563539,6.68691425587352,96.6869142558735,1.68818421716605,0.0813365156489296,179.762043117397,0.00945748127104948,0.289059341987438,"DR","North ","8","D"
"./2020_08_12_20_Intensity_Chroma_Hue.txt","./2020_08_12_20_Intensity_Chroma_Hue.txt",8898.46066834523,0.0655981706344992,0.0223639099062422,0.147040426036942,0.764997493422317,0.742633583516075,0.0814422554024422,0.747087922289358,0.109155705650327,6.25416124353606,96.2541612435361,1.68062821218872,0.0793147806736048,236.768286827837,0.0168422375718934,0.252912077710642,"DR","North ","8","D"
"./2020_09_03_05_Intensity_Chroma_Hue.txt","./2020_09_03_05_Intensity_Chroma_Hue.txt",13780.2590093862,0.240964158744254,0.167061476248332,0.138837899432814,0.4531364655746,0.286074989326268,-0.102126259311439,0.303779699257494,5.94004100708392,340.339279840548,70.3392798405476,1.22814615594607,0.417033238783611,398.869971103946,0.00755478793775161,0.696220300742506,"LB","North ","9","L"
"./2020_09_06_09_Intensity_Chroma_Hue.txt","./2020_09_06_09_Intensity_Chroma_Hue.txt",11014.9531359539,0.218478194283617,0.104934135362358,0.101852432146332,0.574735238207693,0.469801102845335,-0.116625762137285,0.48424414477415,6.03871446569842,345.992852569117,75.9928525691172,1.32685933057189,0.952323741423837,370.811986706622,0.0129994282274757,0.51575585522585,"DB","North ","9","D"
